"ObservationDate","Province/State","Country/Region","Confirmed","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline","Doses_admin","People_partially_vaccinated","People_fully_vaccinated","Prediction (Confirmed)"
"2021-02-10","Limburg","Netherlands",66471,-56.625,-2.6666666666666665,-9.5,-48.666666666666664,-30.666666666666668,13.363636363636363,571145,504736,66409,59508.129487562044
"2021-02-10","Loreto","Peru",28021,-49.5,-12,-45,-39,-30.333333333333332,18,20437,20437,0,43669.52898392715
"2021-02-10","Los Lagos","Chile",46111,-53.75,-32.75,-46.8,-33.2,-21.4,14,1409162,1356507,52655,48682.99802276822
"2021-02-10","Madhya Pradesh","India",256899,-13.666666666666666,28.904761904761905,-14.823529411764707,-0.4807692307692308,-10.211538461538462,7.230769230769231,7017114,7017114,0,257081.0769754435
"2021-02-10","Madre de Dios","Peru",9848,-29,-27.5,-54.5,-52,-19,12.5,20437,20437,0,16064.668871632786
"2021-02-10","Magdalena","Colombia",31222,-35.5,-12.5,-25.4,-13.5,-10.166666666666666,8.666666666666666,0,0,0,28292.113484570604
"2021-02-10","Maharashtra","India",2052253,-19.324324324324323,26.513513513513512,-16.864864864864863,-5.5675675675675675,-10.405405405405405,8.243243243243244,7017114,7017114,0,1825552.1011852094
"2021-02-10","Manipur","India",29148,-33.285714285714285,3.8333333333333335,-9.222222222222221,-4.2,-20.2,5.714285714285714,7017114,7017114,0,33060.446651641156
"2021-02-10","Manitoba","Canada",30417,-31.666666666666668,-9.333333333333334,-49.5,-65.33333333333333,-21.058823529411764,12.666666666666666,1154277,930286,223991,29622.001280721226
"2021-02-10","Nagasaki","Japan",1576,-9,-1,-11,-28,-3,2,0,0,0,991.0731039504225
"2021-02-10","Marche","Italy",59003,-26.333333333333332,-4.666666666666667,-2.6666666666666665,-27,-18,7.666666666666667,2834463,1561640,1272823,52749.13518105023
"2021-02-10","Mecklenburg-Vorpommern","Germany",21762,-49,-12,22,-38,-33,13,3785820,2528079,1257741,19555.306633856944
